P00,Survey-Starting-Agreement,0,0
P00,Instructions-Part-1,0,0
P00,logo01,0,0
P00,logo02_name-white,0,0
P00,logo03_name-white,0,0
P00,logo04_name-white,0,0
P00,Survey-FavoriteBrand,0,0
P00,Survey-BrandAwareness,0,0
P00,Instructions-Part-2,0,0
P00,logo-product01,0,0
P00,logo-product02,0,0
P00,logo-product03,0,0
P00,logo-product04,0,0
P00,Survey-FavoriteProduct,0,0
P00,Instructions-Part-3,1,1
P00,video01 - LOOK,1,1
P00,video02 - Pinarello,1,1
P00,video03 - Trek,0,0
P00,video04 - Specialized,0,0
P00,Survey-FavoriteVideoAd,1,1
