Keyboard response answer
Question ID	Question (2)
Headline	
Number of Categories	1
Attached to stimulus	N/A
LABEL ID	LABEL TEXT	LABEL VALUE	KEY ASSIGNMENT
Label1	Press "S" to Start	1	S
QUESTION ID	QUESTION TEXT

STUDY	RESPONDENT	GENDER	AGE	GROUP	LABEL ID	LABEL TEXT	LABEL VALUE	KEY ASSIGNMENT	TIMING

Study-USJ-BU-001	P08	FEMALE	46	G1	Label1	Press "S" to Start	1	S	9863.38399999999
Study-USJ-BU-001	P07	FEMALE	13	G1	Label1	Press "S" to Start	1	S	7244.98820000001
Study-USJ-BU-001	P06	FEMALE	17	G1	Label1	Press "S" to Start	1	S	7811.39060000001
Study-USJ-BU-001	P05	FEMALE	17	G1	Label1	Press "S" to Start	1	S	7669.785
Study-USJ-BU-001	P04	FEMALE	17	G1	Label1	Press "S" to Start	1	S	5398.3113
Study-USJ-BU-001	P03	FEMALE	16	G1	Label1	Press "S" to Start	1	S	8860.8443
Study-USJ-BU-001	P02	FEMALE	22	G1	Label1	Press "S" to Start	1	S	7029.234
Study-USJ-BU-001	P01	MALE	32	G1	Label1	Press "S" to Start	1	S	16991.0318
Study-USJ-BU-001	P00	MALE	47	G1	Label1	Press "S" to Start	1	S	7596.64019999999
