Keyboard response answer
Question ID	Question (2)
Headline	
Number of Categories	1
Attached to stimulus	N/A
LABEL ID	LABEL TEXT	LABEL VALUE	KEY ASSIGNMENT
Label1	Press "S" to Start	1	S
QUESTION ID	QUESTION TEXT

STUDY	RESPONDENT	GENDER	AGE	GROUP	LABEL ID	LABEL TEXT	LABEL VALUE	KEY ASSIGNMENT	TIMING

Study-USJ-BU-001	P08	FEMALE	46	G1	Label1	Press "S" to Start	1	S	12927.9974
Study-USJ-BU-001	P07	FEMALE	13	G1	Label1	Press "S" to Start	1	S	6003.6625
Study-USJ-BU-001	P06	FEMALE	17	G1	Label1	Press "S" to Start	1	S	11444.6143
Study-USJ-BU-001	P05	FEMALE	17	G1	Label1	Press "S" to Start	1	S	4618.0717
Study-USJ-BU-001	P04	FEMALE	17	G1	Label1	Press "S" to Start	1	S	9442.2236
Study-USJ-BU-001	P03	FEMALE	16	G1	Label1	Press "S" to Start	1	S	7125.4405
Study-USJ-BU-001	P02	FEMALE	22	G1	Label1	Press "S" to Start	1	S	7050.4945
Study-USJ-BU-001	P01	MALE	32	G1	Label1	Press "S" to Start	1	S	3481.2927
Study-USJ-BU-001	P00	MALE	47	G1	Label1	Press "S" to Start	1	S	6005.9463
